user_id,tenure_months,rides_per_month,food_orders_per_month,quik_orders_per_month,pay_txns_per_month,verticals_active,careem_plus,promo_share,days_since_last_activity,captain_cancellations_90d,avg_wait_time_min,surge_exposure_share,refund_delays_90d,delivery_delays_90d,failed_payments_90d,support_tickets_90d,monthly_spend_aed,churned
u_000028,8.2,2.2,0.0,0.0,0.8,2,0,0.33,23.0,0,6.2,0.03,0,0,0,0,67.0,0
u_000029,3.4,13.4,0.0,0.0,1.5,2,0,0.3,7.0,2,6.5,0.01,1,0,0,0,310.0,1
u_000030,18.9,3.7,3.5,2.9,16.0,4,0,0.25,2.0,0,2.1,0.38,0,0,0,0,401.0,0
u_000031,27.2,8.4,0.0,0.0,0.9,2,0,0.49,1.0,3,15.5,0.31,0,0,0,1,214.0,0
u_000032,12.9,10.2,3.9,0.0,8.0,3,0,0.39,3.0,3,12.0,0.14,0,0,0,0,452.0,0
u_000033,29.7,4.1,0.0,0.0,0.0,1,0,0.75,9.0,1,5.6,0.1,0,1,0,0,106.0,0
u_000034,5.5,0.0,2.8,0.0,3.1,2,0,0.47,25.0,0,0.0,0.0,0,0,0,1,153.0,0
u_000035,7.8,0.0,1.0,0.0,0.0,1,0,0.36,48.0,0,0.0,0.0,0,0,0,0,63.0,1
u_000036,18.6,4.3,0.0,0.0,0.0,1,0,0.18,3.0,0,3.9,0.28,0,0,0,0,98.0,0
u_000037,12.1,0.0,0.0,0.0,0.0,0,0,0.02,53.0,0,0.0,0.0,0,1,0,0,9.0,1
u_000038,25.7,3.5,8.5,0.0,0.0,2,0,0.45,6.0,1,2.5,0.38,0,0,0,0,421.0,0
u_000039,23.1,10.1,1.7,0.0,0.0,2,0,0.67,11.0,2,7.3,0.44,0,0,0,1,311.0,0
u_000040,12.7,1.5,0.0,2.4,4.5,3,0,0.23,13.0,1,16.7,0.27,0,0,0,0,151.0,0
u_000041,6.0,4.7,1.7,0.0,11.8,3,0,0.08,10.0,1,3.4,0.02,0,0,0,1,245.0,0
u_000042,11.7,1.8,0.0,0.0,37.7,2,0,0.19,1.0,0,8.4,0.22,0,0,1,0,271.0,0
u_000043,23.4,3.5,0.2,0.0,0.0,1,1,0.13,2.0,1,8.3,0.13,0,0,0,0,94.0,0
u_000044,26.4,11.2,9.2,0.0,1.2,3,0,0.34,1.0,0,3.0,0.04,0,2,0,1,616.0,0
u_000045,12.1,11.0,4.6,0.0,0.0,2,0,0.11,6.0,0,12.0,0.19,0,0,0,2,424.0,0
u_000046,3.4,4.0,3.5,0.0,16.2,3,0,0.49,8.0,0,10.5,0.19,0,0,0,0,331.0,0
u_000047,5.2,6.2,0.0,1.4,0.0,2,0,0.15,5.0,1,12.6,0.14,0,1,0,0,202.0,0
u_000048,22.2,0.0,0.0,0.0,0.0,0,0,0.17,19.0,0,0.0,0.0,0,0,0,2,19.0,1
u_000049,12.6,1.8,0.4,0.0,0.0,1,0,0.55,7.0,0,4.0,0.11,0,0,0,1,95.0,0
u_000050,12.8,7.6,2.7,0.0,0.0,2,0,0.52,10.0,0,4.6,0.03,1,0,0,0,278.0,0
u_000051,7.7,2.0,3.0,2.0,0.2,3,0,0.14,3.0,0,9.5,0.29,0,0,0,0,244.0,0
u_000052,7.6,3.3,0.0,0.0,0.0,1,0,0.17,6.0,1,3.4,0.21,0,0,0,2,86.0,0
u_000053,29.4,0.6,0.0,1.8,0.0,2,0,0.27,10.0,1,2.7,0.09,0,0,1,0,83.0,1
u_000054,22.7,8.6,0.2,1.8,0.0,2,0,0.77,5.0,2,10.9,0.28,0,0,0,1,260.0,1
u_000055,10.5,10.1,0.0,0.0,11.0,2,1,0.28,4.0,0,16.3,0.08,0,0,0,0,292.0,0
u_000056,17.7,6.4,0.0,2.6,15.9,3,0,0.69,2.0,0,8.9,0.58,0,0,0,0,324.0,0
u_000057,19.8,4.9,0.0,0.0,0.0,1,0,0.12,12.0,0,1.6,0.05,0,0,0,0,132.0,0
u_000058,45.2,3.1,0.0,0.0,1.7,2,0,0.35,25.0,1,14.2,0.17,1,0,0,1,113.0,0
u_000059,7.1,8.8,0.5,0.0,2.7,2,1,0.45,2.0,1,5.0,0.11,0,0,0,0,250.0,0
u_000060,19.7,15.8,1.1,0.0,0.0,2,0,0.41,1.0,0,6.9,0.15,0,0,0,0,427.0,0
u_000061,29.3,2.3,0.0,0.0,15.0,2,1,0.34,2.0,0,13.3,0.12,0,0,0,1,164.0,0
u_000062,42.0,4.0,2.4,0.0,5.9,3,0,0.54,4.0,1,7.7,0.11,0,0,0,1,228.0,0
u_000063,10.1,1.7,1.5,0.0,0.0,2,0,0.59,1.0,0,13.1,0.22,0,0,0,1,100.0,0
u_000064,12.4,5.0,7.7,11.7,6.4,4,1,0.29,11.0,0,4.4,0.37,0,2,0,0,794.0,0
u_000065,25.9,3.4,0.0,0.0,0.0,1,0,0.49,14.0,2,3.3,0.12,0,0,0,0,79.0,0
u_000066,4.4,4.3,0.0,0.0,0.0,1,0,0.44,5.0,1,4.7,0.27,0,0,1,0,117.0,1
u_000067,21.0,8.9,0.0,0.0,0.0,1,0,0.17,7.0,2,3.2,0.39,0,0,0,0,206.0,0
u_000068,55.3,10.9,1.3,1.3,8.5,4,1,0.86,1.0,0,7.3,0.06,0,1,0,0,390.0,0
u_000069,22.4,1.4,0.0,0.0,11.7,2,0,0.16,9.0,0,6.4,0.22,0,0,0,0,106.0,0
u_000070,1.9,0.0,0.0,1.8,1.0,2,0,0.56,34.0,0,0.0,0.0,0,0,0,0,65.0,0
u_000071,8.7,13.4,3.2,0.0,0.0,2,0,0.12,3.0,0,2.2,0.27,0,0,0,2,424.0,0
u_000072,10.3,7.2,6.2,0.0,0.0,2,0,0.21,2.0,2,6.5,0.52,0,0,0,1,434.0,1
u_000073,33.6,1.8,0.0,0.0,9.3,2,0,0.04,2.0,0,4.0,0.18,0,0,0,0,108.0,0
u_000074,14.9,10.5,0.3,0.0,1.9,2,0,0.14,7.0,1,16.8,0.45,0,0,0,0,270.0,0
u_000075,3.5,7.6,4.1,0.0,22.9,3,1,0.24,3.0,2,4.9,0.19,0,1,0,1,464.0,0
u_000076,16.1,7.0,1.1,1.6,8.8,4,0,0.26,3.0,0,11.8,0.26,0,0,0,0,303.0,0
u_000077,18.5,3.9,0.0,0.0,9.1,2,0,0.46,2.0,0,8.7,0.45,0,1,0,1,142.0,0
u_000078,11.4,6.7,0.0,0.0,17.5,2,0,0.14,3.0,0,10.8,0.24,1,0,0,1,255.0,0
u_000079,7.5,29.2,0.0,0.0,0.0,1,0,0.17,1.0,1,4.3,0.08,1,0,0,0,651.0,0
u_000080,58.9,0.5,3.7,0.0,0.0,1,1,0.44,3.0,0,0.0,0.0,0,0,1,0,174.0,0
u_000081,29.4,3.2,2.9,0.0,0.6,3,0,0.25,5.0,0,5.1,0.14,0,0,0,1,204.0,0
u_000082,31.1,3.5,2.8,0.0,32.5,3,1,0.24,2.0,0,6.3,0.34,0,1,0,0,392.0,0
u_000083,14.9,0.0,10.4,0.0,0.0,1,0,0.14,6.0,0,0.0,0.0,0,0,0,1,404.0,0
u_000084,10.0,1.7,0.0,0.0,0.0,1,0,0.1,11.0,0,6.5,0.09,0,0,0,0,50.0,0
u_000085,11.8,1.5,0.0,0.0,5.0,2,0,0.01,10.0,0,8.0,0.01,0,0,0,0,78.0,0
u_000086,5.5,0.9,0.0,0.0,3.3,2,0,0.05,20.0,0,2.2,0.03,0,0,0,0,54.0,0
u_000087,44.7,0.0,4.1,0.0,0.0,1,0,0.53,10.0,0,0.0,0.0,0,1,0,0,168.0,0
u_000088,15.4,7.0,9.3,0.0,6.9,3,0,0.54,2.0,1,7.7,0.42,1,1,0,0,561.0,0
u_000089,38.5,4.6,0.0,0.0,0.0,1,0,0.34,15.0,0,5.7,0.06,0,0,0,0,121.0,1
u_000090,12.2,0.0,0.0,0.0,0.0,0,0,0.13,34.0,0,0.0,0.0,0,0,0,0,6.0,1
u_000091,22.6,6.7,5.1,0.0,0.0,2,0,0.03,9.0,0,19.2,0.06,0,0,0,0,352.0,0
u_000092,19.2,4.7,0.0,4.3,5.6,3,0,0.53,3.0,0,11.4,0.29,0,0,0,1,285.0,0
u_000093,5.0,0.0,0.0,0.0,0.0,0,0,0.21,5.0,0,0.0,0.0,0,0,0,1,12.0,0
u_000094,48.2,0.0,3.5,10.5,0.0,2,0,0.53,3.0,0,0.0,0.0,0,0,0,2,471.0,0
u_000095,12.5,2.3,0.0,0.0,3.1,2,0,0.09,13.0,0,4.0,0.22,0,0,1,1,87.0,0
u_000096,6.5,9.2,0.0,0.0,0.0,1,0,0.35,4.0,0,3.4,0.33,0,0,1,0,211.0,0
u_000097,26.0,1.6,0.5,2.6,0.0,2,0,0.1,13.0,1,15.0,0.22,0,0,1,1,141.0,0
u_000098,16.7,0.8,2.8,0.0,0.0,2,0,0.2,14.0,0,8.9,0.34,0,0,0,0,130.0,0
u_000099,21.3,4.6,1.5,0.0,4.8,3,0,0.66,2.0,0,15.0,0.23,0,0,0,1,211.0,0
u_000100,17.9,7.2,1.2,3.6,1.5,4,0,0.28,5.0,0,5.2,0.08,0,0,0,0,330.0,0
u_000101,2.1,0.8,0.0,0.0,17.2,2,0,0.47,8.0,0,5.5,0.14,0,0,1,0,143.0,0
u_000102,8.4,10.0,5.8,0.1,10.7,3,1,0.2,1.0,0,4.8,0.0,0,0,0,0,534.0,0
u_000103,8.2,0.0,0.8,0.0,0.0,1,1,0.75,26.0,0,0.0,0.0,0,1,0,0,41.0,0
u_000104,30.8,2.7,0.0,0.0,8.4,2,1,0.64,4.0,1,11.4,0.03,1,0,0,0,146.0,0
u_000105,17.2,4.7,3.1,0.0,10.9,3,0,0.23,5.0,0,10.3,0.07,0,0,0,1,316.0,0
u_000106,23.6,13.1,0.0,0.0,0.0,1,1,0.14,4.0,1,4.6,0.04,0,0,0,1,324.0,0
u_000107,13.1,13.7,0.0,0.0,0.0,1,1,0.13,7.0,0,3.0,0.2,0,0,0,0,314.0,0
u_000108,24.3,5.5,0.0,1.0,0.2,2,0,0.24,3.0,3,3.0,0.41,0,0,2,0,161.0,0
u_000109,15.0,3.2,9.1,0.0,0.0,2,1,0.34,3.0,0,15.0,0.5,0,0,0,0,420.0,0
u_000110,14.2,3.4,4.4,2.4,0.0,3,0,0.18,7.0,0,11.9,0.15,0,0,0,0,325.0,0
u_000111,19.1,18.8,0.0,0.0,12.0,2,1,0.45,3.0,2,7.5,0.06,0,0,0,0,509.0,0
u_000112,17.9,11.5,6.3,0.0,0.0,2,0,0.43,1.0,1,1.6,0.16,1,1,0,0,513.0,0
u_000113,70.7,6.5,0.0,4.3,0.0,2,0,0.41,3.0,0,4.0,0.13,0,0,1,0,292.0,0
u_000114,8.3,0.0,2.6,1.4,3.3,3,0,0.81,7.0,0,0.0,0.0,0,0,0,1,187.0,0
u_000115,4.5,5.2,0.0,0.0,0.0,1,1,0.26,10.0,0,4.5,0.14,0,0,1,2,121.0,0
u_000116,21.0,0.5,1.2,3.0,0.0,2,0,0.17,7.0,0,0.0,0.0,0,0,0,1,198.0,0
u_000117,9.3,0.1,0.5,0.0,0.0,0,0,0.39,12.0,0,0.0,0.0,0,0,0,0,31.0,1
u_000118,1.8,0.0,1.3,0.0,0.0,1,0,0.02,41.0,0,0.0,0.0,0,1,0,0,65.0,1
u_000119,6.8,1.4,0.0,0.0,4.6,2,0,0.3,19.0,0,10.2,0.01,0,0,0,0,71.0,0
u_000120,61.3,5.7,3.1,0.0,0.0,2,0,0.11,10.0,1,6.1,0.29,0,1,0,0,250.0,0
u_000121,8.2,5.3,5.0,0.0,0.0,2,0,0.66,8.0,1,4.7,0.04,0,0,0,0,319.0,0
u_000122,3.1,0.8,0.0,4.8,0.0,2,0,0.2,14.0,2,4.5,0.16,0,0,0,1,188.0,0
u_000123,58.9,5.8,4.5,0.0,0.0,2,0,0.09,8.0,0,7.1,0.22,0,2,0,2,318.0,0
u_000124,6.6,0.0,0.0,0.0,0.0,0,0,0.45,77.0,0,0.0,0.0,0,0,0,0,7.0,1
u_000125,72.0,5.9,1.6,1.4,0.0,3,0,0.17,10.0,0,6.0,0.13,0,1,0,2,238.0,0
u_000126,12.7,2.6,1.5,0.0,1.3,3,0,0.17,12.0,1,5.1,0.19,1,1,0,1,146.0,0
u_000127,48.3,6.9,0.9,0.0,5.9,3,1,0.64,5.0,0,17.7,0.02,0,1,0,0,230.0,0
u_000128,14.0,7.3,0.0,0.0,0.0,1,0,0.24,5.0,0,2.4,0.33,0,1,0,0,187.0,0
u_000129,22.7,6.9,1.4,0.0,0.0,2,0,0.32,5.0,0,3.9,0.18,0,0,0,1,212.0,0
u_000130,15.2,3.7,6.9,0.7,0.0,3,0,0.87,7.0,1,4.9,0.15,0,0,0,1,369.0,0
u_000131,14.0,0.0,0.7,0.0,4.0,2,0,0.24,13.0,0,0.0,0.0,0,0,0,0,87.0,0
u_000132,19.8,12.3,0.0,0.0,1.2,2,0,0.14,5.0,0,9.2,0.14,1,0,0,0,311.0,0
u_000133,23.3,5.0,1.2,0.0,17.8,3,1,0.18,1.0,0,2.9,0.03,0,0,0,0,288.0,0
u_000134,18.8,0.0,0.0,0.0,0.0,0,0,0.28,8.0,0,0.0,0.0,0,0,0,0,22.0,0
u_000135,17.5,2.1,1.7,0.0,8.4,3,0,0.37,6.0,0,13.1,0.06,1,0,0,0,193.0,0
u_000136,9.4,7.4,0.0,0.0,0.0,1,0,0.38,6.0,0,4.2,0.14,0,0,0,1,173.0,1
u_000137,15.6,0.0,0.0,0.0,0.0,0,0,0.24,32.0,0,0.0,0.0,0,0,0,0,30.0,1
u_000138,44.5,7.8,5.4,0.0,0.0,2,1,0.22,7.0,1,10.8,0.05,0,0,1,0,397.0,0
u_000139,9.1,1.0,0.0,2.1,1.0,3,0,0.12,4.0,0,4.0,0.38,0,0,0,0,129.0,0
u_000140,20.2,0.0,0.0,0.0,5.0,1,0,0.1,10.0,0,0.0,0.0,0,0,0,0,39.0,0
u_000141,36.1,7.4,7.7,0.0,11.0,3,1,0.41,3.0,2,6.5,0.16,1,1,0,0,525.0,0
u_000142,23.4,2.2,0.0,0.0,8.8,2,0,0.14,11.0,1,2.4,0.22,0,0,0,0,113.0,1
u_000143,31.0,9.8,0.0,0.0,0.9,2,0,0.43,4.0,1,9.6,0.17,0,0,0,0,232.0,0
u_000144,6.5,3.3,0.0,0.0,0.0,1,1,0.23,11.0,0,8.2,0.05,0,1,0,1,100.0,0
u_000145,20.3,4.6,0.0,4.9,6.9,3,0,0.41,4.0,2,2.7,0.04,0,1,0,1,313.0,0
u_000146,13.5,0.3,0.0,0.0,0.0,0,0,0.05,23.0,0,0.0,0.0,0,0,0,0,10.0,0
u_000147,13.9,0.9,4.7,0.0,0.0,2,0,0.33,8.0,0,6.3,0.13,1,0,0,0,200.0,0
u_000148,42.2,8.5,0.0,0.0,0.0,1,0,0.5,9.0,0,1.5,0.2,1,1,0,1,212.0,1
u_000149,14.1,3.1,2.2,0.0,0.0,2,0,0.3,1.0,0,10.4,0.14,0,1,0,0,169.0,0
u_000150,20.7,10.6,0.0,0.0,0.0,1,0,0.54,5.0,3,23.3,0.23,1,0,0,0,277.0,1
u_000151,3.1,0.2,5.7,0.0,0.0,1,1,0.37,11.0,0,0.0,0.0,0,0,0,1,224.0,0
u_000152,48.2,6.6,0.0,0.0,9.0,2,0,0.06,5.0,0,14.7,0.14,0,0,0,0,220.0,0
u_000153,29.8,0.3,0.0,0.0,0.0,0,0,0.33,19.0,0,0.0,0.0,0,0,0,0,19.0,1
u_000154,16.1,1.9,4.8,0.0,0.0,2,0,0.7,1.0,0,2.2,0.2,0,1,0,1,256.0,0
u_000155,13.0,4.2,0.0,0.0,9.1,2,0,0.18,15.0,0,4.3,0.2,0,0,0,0,168.0,0
u_000156,25.0,0.0,0.0,3.8,0.0,1,0,0.28,15.0,0,0.0,0.0,0,0,0,0,135.0,0
u_000157,35.8,5.9,3.9,0.0,0.0,2,0,0.65,9.0,2,6.2,0.15,0,0,1,0,302.0,0
u_000158,48.7,2.6,3.0,0.0,0.0,2,0,0.8,3.0,0,11.0,0.26,0,0,2,0,177.0,0
u_000159,29.2,0.0,0.7,3.0,3.9,3,0,0.1,2.0,0,0.0,0.0,0,1,0,1,163.0,0
u_000160,17.6,1.6,5.3,0.0,7.3,3,1,0.37,5.0,0,3.5,0.1,0,3,0,0,293.0,0
u_000161,32.1,7.7,0.0,0.0,0.0,1,1,0.12,6.0,1,9.2,0.06,0,1,0,1,192.0,0
u_000162,28.4,5.1,1.6,0.0,0.0,2,0,0.54,3.0,1,7.5,0.36,0,0,0,0,180.0,0
u_000163,17.7,6.6,0.0,0.0,7.6,2,1,0.13,1.0,0,14.8,0.11,1,0,1,0,201.0,0
u_000164,27.8,4.5,1.5,0.0,2.6,3,1,0.2,8.0,0,6.2,0.21,0,0,0,0,182.0,0
u_000165,27.5,8.8,2.3,0.0,8.9,3,1,0.44,9.0,0,3.1,0.16,0,0,0,1,337.0,0
u_000166,16.0,2.6,0.0,0.0,5.9,2,0,0.29,7.0,0,3.6,0.07,0,0,0,0,120.0,0
u_000167,11.2,0.0,9.1,4.5,1.9,3,0,0.34,8.0,0,0.0,0.0,0,0,0,0,523.0,0
u_000168,25.9,31.8,0.0,0.0,0.0,1,0,0.54,1.0,4,5.2,0.09,1,1,0,0,739.0,0
u_000169,7.2,1.3,18.3,0.0,0.0,2,0,0.24,11.0,0,13.7,0.1,0,1,0,0,744.0,0
u_000170,5.8,11.1,0.0,0.0,0.0,1,0,0.13,6.0,1,8.1,0.14,0,0,0,0,252.0,0
u_000171,20.9,22.2,0.0,0.0,6.8,2,0,0.48,5.0,1,7.1,0.05,0,0,0,0,541.0,0
u_000172,25.5,7.1,0.0,0.0,0.0,1,1,0.91,12.0,1,7.6,0.13,0,0,0,0,191.0,0
u_000173,20.8,0.1,0.0,0.0,0.0,0,0,0.5,20.0,0,0.0,0.0,0,0,0,0,41.0,1
u_000174,22.4,1.4,5.7,0.0,0.0,2,0,0.43,4.0,0,5.6,0.06,0,0,0,0,275.0,0
u_000175,25.2,6.0,0.0,0.0,0.0,1,0,0.25,3.0,3,6.4,0.05,0,0,0,1,138.0,1
u_000176,42.3,4.6,0.0,0.0,0.0,1,0,0.24,11.0,0,18.8,0.23,0,0,0,0,113.0,0
u_000177,29.5,14.9,0.0,0.0,0.0,1,0,0.18,5.0,2,3.8,0.2,0,0,0,0,336.0,0
u_000178,28.9,15.3,3.6,3.4,0.0,3,0,0.39,3.0,1,2.1,0.3,0,1,0,0,589.0,0
u_000179,19.8,4.2,1.1,0.0,3.9,3,0,0.55,17.0,0,15.1,0.06,0,0,0,1,160.0,1
u_000180,20.3,4.5,1.3,0.4,0.2,2,0,0.24,6.0,1,1.6,0.05,0,0,1,0,167.0,0
u_000181,15.1,2.8,2.7,1.5,13.6,4,1,0.45,13.0,0,4.8,0.28,0,2,0,0,322.0,0
u_000182,22.0,6.8,5.3,0.0,0.0,2,1,0.43,6.0,1,6.0,0.08,0,0,0,0,378.0,0
u_000183,6.9,1.8,13.9,0.0,7.3,3,0,0.47,2.0,0,6.3,0.16,0,2,0,0,653.0,0
u_000184,42.4,4.1,1.3,0.0,0.0,2,0,0.08,1.0,0,6.3,0.55,0,0,0,1,159.0,0
u_000185,8.6,2.0,2.8,0.0,0.0,2,0,0.1,10.0,0,5.4,0.24,0,0,0,0,173.0,0
u_000186,29.5,0.0,6.3,0.0,0.0,1,1,0.13,2.0,0,0.0,0.0,2,0,0,0,255.0,0
u_000187,39.0,10.5,0.0,0.0,0.0,1,0,0.14,5.0,1,14.2,0.14,0,0,0,0,242.0,0
u_000188,29.4,0.9,0.0,9.2,0.0,2,1,0.33,10.0,1,6.1,0.02,0,0,0,0,312.0,0
u_000189,64.8,3.8,3.3,0.0,0.0,2,1,0.7,8.0,0,7.3,0.37,0,0,0,1,220.0,0
u_000190,2.2,13.2,0.8,0.5,0.0,2,1,0.17,1.0,1,1.2,0.04,0,0,0,1,375.0,0
u_000191,11.8,16.2,8.3,0.0,0.0,2,0,0.34,5.0,0,5.3,0.21,0,2,0,1,684.0,0
u_000192,38.6,2.8,0.0,0.0,0.0,1,0,0.49,34.0,0,10.7,0.15,0,0,0,0,68.0,0
u_000193,5.6,2.1,0.0,2.2,0.0,2,0,0.29,12.0,0,18.3,0.05,0,1,0,1,117.0,0
u_000194,8.8,0.0,2.5,0.0,6.3,2,0,0.14,10.0,0,0.0,0.0,0,0,0,2,134.0,0
u_000195,24.1,11.4,1.6,0.0,0.0,2,0,0.48,10.0,1,5.0,0.19,0,0,0,3,335.0,1
u_000196,17.5,10.9,5.6,0.0,8.9,3,0,0.2,1.0,0,4.9,0.11,0,2,0,1,511.0,0
u_000197,23.1,5.1,0.4,4.9,0.0,2,0,0.06,6.0,0,3.1,0.12,0,0,0,1,285.0,0
u_000198,18.6,24.0,1.5,0.0,6.3,3,0,0.6,1.0,4,4.7,0.16,0,0,0,0,635.0,0
u_000199,19.8,0.0,0.0,0.0,4.0,1,0,0.28,11.0,0,0.0,0.0,0,0,0,0,52.0,0
u_000200,9.5,11.7,2.2,3.4,0.0,3,0,0.39,1.0,2,5.5,0.14,0,0,0,1,447.0,0
u_000201,19.3,3.0,1.0,0.0,5.4,3,1,0.5,13.0,3,3.2,0.41,0,1,0,0,148.0,0
u_000202,12.4,3.7,0.0,0.0,0.0,1,0,0.54,11.0,0,1.3,0.17,0,0,0,0,95.0,0
u_000203,13.7,5.9,0.0,0.0,15.1,2,1,0.6,3.0,0,1.5,0.15,0,0,0,0,234.0,0
u_000204,29.2,2.0,5.7,0.0,2.3,3,0,0.61,13.0,0,6.1,0.03,0,0,0,1,295.0,0
u_000205,5.4,9.3,0.0,0.0,0.0,1,0,0.6,6.0,1,2.4,0.1,0,0,0,0,230.0,0
u_000206,1.3,5.3,4.1,0.3,0.0,2,0,0.21,7.0,0,1.1,0.07,0,0,1,2,313.0,0
u_000207,27.8,11.9,1.1,1.0,9.8,4,1,0.79,4.0,0,3.9,0.18,0,0,0,0,413.0,0
u_000208,19.4,1.8,5.2,0.0,0.0,2,1,0.11,6.0,0,3.0,0.25,0,0,0,1,256.0,0
u_000209,39.0,2.0,2.3,0.0,0.0,2,0,0.29,7.0,0,5.8,0.29,0,2,0,0,136.0,1
u_000210,9.0,3.7,4.1,0.9,0.0,3,0,0.55,3.0,0,1.1,0.35,0,2,0,0,310.0,0
u_000211,15.6,0.0,0.0,0.0,0.0,0,0,0.04,21.0,0,0.0,0.0,0,0,0,0,18.0,1
u_000212,18.0,6.3,0.0,0.0,0.0,1,0,0.62,7.0,0,5.4,0.34,0,0,0,0,157.0,1
u_000213,10.5,15.0,4.1,0.6,4.6,4,0,0.28,4.0,2,3.3,0.05,0,0,0,0,542.0,0
u_000214,8.1,6.0,2.1,0.0,3.1,3,0,0.12,3.0,2,24.6,0.14,0,0,0,0,234.0,0
u_000215,28.7,0.8,1.4,1.4,1.1,4,0,0.02,23.0,0,6.9,0.04,0,0,0,1,132.0,0
u_000216,4.9,1.5,2.4,0.0,8.8,3,0,0.56,2.0,0,7.2,0.14,0,0,0,1,214.0,0
u_000217,7.0,0.7,0.0,0.0,0.0,1,0,0.14,6.0,2,6.4,0.31,0,0,0,0,57.0,1
u_000218,15.2,0.7,2.3,0.0,10.7,3,0,0.45,10.0,0,6.1,0.32,0,0,0,0,200.0,0
u_000219,31.0,3.3,0.0,0.0,0.0,1,0,0.24,15.0,0,4.7,0.13,0,0,0,0,78.0,0
u_000220,11.1,0.0,5.1,5.4,0.0,2,0,0.26,0.0,0,0.0,0.0,0,1,1,0,363.0,0
u_000221,10.0,0.0,0.0,0.0,0.0,0,0,0.07,25.0,0,0.0,0.0,0,1,0,0,16.0,1
u_000222,14.6,7.2,2.4,0.0,0.0,2,0,0.35,2.0,2,5.5,0.25,0,0,0,0,278.0,0
u_000223,21.7,9.2,2.9,0.0,0.0,2,0,0.37,3.0,0,4.9,0.14,0,0,0,0,325.0,0
